Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
BAC.CN,"Bactech Environmental Corp",0.09,0.015,+20.00%,0.1,0.08,7616008,07/14/21
NGE.VN,"Nevada Exploration Inc",0.19,0.025,+15.15%,0.195,0.165,1102783,07/14/21
PKG.CN,"Parcelpal Logistics Inc",0.135,0.025,+22.73%,0.135,0.12,1191987,07/14/21
SLL.VN,"Standard Lithium Ltd",6.95,0.98,+16.42%,6.95,6.21,1408977,07/12/21
"Downloaded from Barchart.com as of 07-14-2021 10:20pm CDT"
