Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
CMC.CN,"Cielo Waste Solutions Corp",1.11,0.17,+18.09%,1.12,0.97,10732950,06/23/21
ESI.TO,"Ensign Energy Services Inc",2.48,0.29,+13.24%,2.5,2.21,2071560,06/25/21
GHG-WT.CN,"Global Hemp Group Inc. Wts.",0.03,0.01,+50.00%,0.04,0.02,5991328,06/25/21
GHG.CN,"Global Hemp Group Inc",0.065,0.02,+44.44%,0.11,0.045,33945941,06/25/21
MARV.VN,"Marvel Discovery Corp",0.17,0.025,+17.24%,0.18,0.145,3785625,06/25/21
NBM.VN,"NEO Battery Minerals Ltd",0.71,0.1,+16.39%,0.77,0.53,4890657,06/25/21
QNC.VN,"Quantum Emotion Corp",0.34,0.095,+38.78%,0.34,0.25,2656329,06/25/21
VEIN.VN,"Pasofino Gold Ltd.",0.105,0.01,+10.53%,0.105,0.09,1230100,06/25/21
"Downloaded from Barchart.com as of 06-27-2021 10:56pm CDT"
