Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
ATW.VN,"Atw Tech Inc",0.095,0.01,+11.76%,0.1,0.085,2289927,06/22/21
BXR.VN,"Blue River Resources Ltd",0.02,0.01,+100.00%,0.02,0.015,3545444,06/22/21
CME.CN,"Canadian Metals Inc",0.38,0.08,+26.67%,0.39,0.3,565903,06/22/21
EAT.CN,"Nutritional High International Inc",0.02,0.005,+33.33%,0.02,0.015,1893488,06/22/21
EMO.VN,"Emerita Resources Corp",1.23,0.26,+26.80%,1.26,0.97,3448139,06/22/21
SPEY.CN,"Spey Resources Corp",0.53,0.125,+30.86%,0.54,0.4,950547,06/22/21
SPOT.VN,"Goldspot Discoveries Corp",1.41,0.11,+8.46%,1.55,1.21,1216754,06/22/21
WEB.VN,"Westbridge Energy Corporation",0.235,0.042,+21.76%,0.235,0.175,1279188,06/22/21
"Downloaded from Barchart.com as of 06-22-2021 08:28pm CDT"
