Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
CYBN.NE,"Cybin Inc",3.25,0.47,+16.91%,3.25,2.85,2211737,07/09/21
DEEP.CN,"Deeprock Minerals Inc",0.095,0.015,+18.75%,0.1,0.085,1034900,07/09/21
FLT.VN,"Drone Delivery Canada Corp",1.38,0.29,+26.61%,1.38,1.2,3611607,07/09/21
MYCO.NE,"Mydecine Innovations Group Inc",0.485,0.095,+24.36%,0.5,0.42,6394516,07/09/21
PAID.CN,"Xtm Inc.",0.445,0.045,+11.25%,0.485,0.395,1111794,07/09/21
PULL.CN,"Pure Extracts Technologies Corp",0.385,0.125,+48.08%,0.48,0.29,7226425,07/09/21
SNOW.CN,"Snowy Owl Gold Corp",0.125,0.03,+31.58%,0.13,0.08,2045935,07/09/21
"Downloaded from Barchart.com as of 07-11-2021 11:23pm CDT"
