Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
CHV.CN,"Canada House Wellness Group Inc",0.035,0.005,+16.67%,0.035,0.03,515350,06/15/21
LION.CN,"Global Li-Ion Graphite Corp",0.125,0.025,+25.00%,0.125,0.1,1346318,06/15/21
LITE.CN,"Spotlite360 Technologies Inc",0.74,0.22,+42.31%,0.78,0.52,3094382,06/15/21
MWX.VN,"Mineworx Technologies Ltd",0.09,0.015,+20.00%,0.09,0.075,696083,06/15/21
PSH.VN,"Petroshale Inc",0.31,0.03,+10.71%,0.32,0.275,793879,06/15/21
QNC.VN,"Quantum Emotion Corp",0.25,0.035,+16.28%,0.255,0.22,507300,06/15/21
ROE.VN,"Renaissance Oil Corp",0.455,0.04,+9.64%,0.455,0.41,823649,06/15/21
TGS.VN,"Tgs Esports Inc",0.155,0.025,+19.23%,0.155,0.125,861670,06/15/21
"Downloaded from Barchart.com as of 06-15-2021 08:02pm CDT"
