Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
PFSW,"Pfsweb Inc",11.78,0.98,+9.07%,12.24,10.51,1777300,07/07/21
ISEE,"Iveric Bio Inc",9.61,1.02,+11.87%,9.79,8.33,7502200,07/07/21
VRPX,"Virpax Pharmaceuticals Inc",5.18,0.63,+13.85%,8.49,4.37,33345699,07/07/21
DBGI,"Digital Brands Group Inc",5.27,0.77,+17.11%,5.65,4.29,11450801,07/07/21
XELA,"Exela Technologies Inc",3.29,0.61,+22.76%,3.34,2.26,337116094,07/07/21
BTU,"Peabody Energy Corp",10.01,1.97,+24.50%,10.54,8.01,45548100,07/07/21
IPW,"Ipower Inc",7.72,1.88,+32.19%,8.05,5.53,13127399,07/07/21
NEGG,"Newegg Commerce Inc",67.57,40.37,+148.42%,79.07,28.19,76187102,07/07/21
"Downloaded from Barchart.com as of 07-07-2021 10:35pm CDT"
