Ticker,Description,Sector,Change %,Market Capitalization,1-Year Beta,Price to Earnings Ratio (TTM),Price to Sales (FY),Price to Book (FY),Yearly Performance
BLDR,"Builders FirstSource, Inc.",Producer Manufacturing,1.36632201,11375743052.509233,1.7152921,10.57399453,0.74617113,5.48885355,69.99535532
USB,U.S. Bancorp,Finance,2.19100184,90588254634.32513,0.94267106,12.80848329,3.92074087,1.91267529,69.25207756
C,"Citigroup, Inc.",Finance,1.51728013,146455496018.1287,1.161746,7.15851721,1.67980414,0.82352443,66.72819566
PRU,"Prudential Financial, Inc.",Finance,2.75662651,41151460000,0.87614554,5.72536987,0.72000859,0.61001685,66.50007809
PFG,Principal Financial Group Inc,Finance,3.22730799,17856260924.37595,1.3210143,11.21610804,1.20928183,1.06372918,65.91022444
FULT,Fulton Financial Corporation,Finance,3.99467377,2547231530.1584554,0.84272695,10.08866201,2.53051489,1.00631122,65.11627907
HRB,"H&R Block, Inc.",Consumer Services,0,4547527014.000001,0.75264853,8.05830757,1.41223871,13.15159348,61.54332701
MTB,M&T Bank Corporation,Finance,5.56331146,19462301217.266575,0.8274026,11.01525497,3.02227944,1.23081449,60.50732329
ELY,Callaway Golf Company,Consumer Durables,-0.62747688,5595829658.252973,1.930926,10.92667436,1.79457569,4.22181541,60.22364217
BEN,"Franklin Resources, Inc.",Finance,1.67403664,16186876201.8307,1.5185549,13.08156351,2.80414865,1.54979411,57.25451881
BXS,BancorpSouth Bank,Finance,2.16582064,3098310628.772589,0.9383703,10.54152397,2.65806965,1.14129547,56.34386328
ABR,Arbor Realty Trust,Finance,1.03429505,2611805100,0.6866072,7.14341266,3.62545368,1.80320257,56.22895623
ORI,Old Republic International Corporation,Finance,1.26141801,7117589958.075686,0.98352426,4.34708619,0.95892834,1.13014736,55.82329317
BK,The Bank of New York Mellon Corporation,Finance,3.58874879,44496600000,1.127627,13.32385629,2.73798481,1.10791715,55.73053368
NYCB,"New York Community Bancorp, Inc.",Finance,3.46729708,6105882950.627266,0.31562454,10.46252783,3.3241984,0.92871032,53.92731536
OMC,Omnicom Group Inc.,Commercial Services,1.41843972,16249960281.77305,1.051734,12.00404793,1.22667249,5.20909937,52.67929089
CB,Chubb Limited,Finance,0.95049505,78284381902.86417,0.9106398,9.76600271,2.22306078,1.34027003,52.54338719
FL,"Foot Locker, Inc.",Retail Trade,2.3222061,5122908871.502177,1.4117795,4.96254682,0.67156505,1.80481098,52.36184007
HPQ,HP Inc.,Electronic Technology,2.94012191,33088813990.360703,1.2757463,8.64136328,0.70056783,,52.22693531
