NBLY.TO, 0.8181818181818182, 0.6
TRZ.TO, 0.8297872340425532, 0.7857142857142857
XERS, 0.8294930875576036, 0.8267326732673267
GLXY.TO, 0.726027397260274, 0.7478991596638656
RAIL, 0.6090909090909091, 0.6407766990291263
NBM.V, 0.5789473684210527, null
BRPHF, 0.7622377622377622, 0.7475247524752475
TSU.TO, 0.8923076923076924, 0.8852459016393442
XLI, 0.9066147859922179, 0.9098360655737705
XLE, 0.784366576819407, 0.7891737891737892
VEA, 0.9441860465116279, 0.9414634146341463
KRE, 0.8082191780821918, 0.8092485549132948
COF, 0.7941952506596306, 0.8151260504201681
ROKU, 0.7663551401869159, 0.775
TCL-A.TO, 0.7484662576687117, 0.7631578947368421
BBD-B.TO, 0.8041958041958042, 0.8434782608695652
